KO,BC_well,Stimulus,Origin_well
TBX21_KO,A1,Unstimulated,A6
TBX21_KO,A2,Unstimulated,A7
TBX21_KO,A3,Unstimulated,A8
TBX21_WT,A4,Unstimulated,A9
TBX21_WT,A5,Unstimulated,A10
TBX21_KO,A6,Stimulated,A6
TBX21_KO,A7,Stimulated,A7
TBX21_KO,A8,Stimulated,A8
TBX21_WT,A9,Stimulated,A9
TBX21_WT,A10,Stimulated,A10
IRF2_HET,B1,Unstimulated,B6
IRF2_HET,B2,Unstimulated,B7
IRF2_HET,B3,Unstimulated,B8
IRF2_WT,B4,Unstimulated,B9
IRF2_WT,B5,Unstimulated,B10
IRF2_HET,B6,Stimulated,B6
IRF2_HET,B7,Stimulated,B7
IRF2_HET,B8,Stimulated,B8
IRF2_WT,B9,Stimulated,B9
IRF2_WT,B10,Stimulated,B10
GATA3_KO,C1,Unstimulated,C6
GATA3_KO,C2,Unstimulated,C7
GATA3_KO,C3,Unstimulated,C8
GATA3_WT,C4,Unstimulated,C9
GATA3_WT,C5,Unstimulated,C10
GATA3_KO,C6,Stimulated,C6
GATA3_KO,C7,Stimulated,C7
GATA3_KO,C8,Stimulated,C8
GATA3_WT,C9,Stimulated,C9
GATA3_WT,C10,Stimulated,C10
CASP1_KO,D1,Unstimulated,D6
CASP1_KO,D2,Unstimulated,D7
CASP1_KO,D3,Unstimulated,D8
CASP1_WT,D4,Unstimulated,D9
CASP1_WT,D5,Unstimulated,D10
CASP1_KO,D6,Stimulated,D6
CASP1_KO,D7,Stimulated,D7
CASP1_KO,D8,Stimulated,D8
CASP1_WT,D9,Stimulated,D9
CASP1_WT,D10,Stimulated,D10
IRF1_KO,E1,Unstimulated,E6
IRF1_KO,E2,Unstimulated,E7
IRF1_KO,E3,Unstimulated,E8
IRF1_WT,E4,Unstimulated,E9
IRF1_WT,E5,Unstimulated,E10
IRF1_KO,E6,Stimulated,E6
IRF1_KO,E7,Stimulated,E7
IRF1_KO,E8,Stimulated,E8
IRF1_WT,E9,Stimulated,E9
IRF1_WT,E10,Stimulated,E10
NLRP3_KO,F1,Unstimulated,F6
NLRP3_KO,F2,Unstimulated,F7
NLRP3_KO,F3,Unstimulated,F8
NLRP3_WT,F4,Unstimulated,F9
NLRP3_WT,F5,Unstimulated,F10
NLRP3_KO,F6,Stimulated,F6
NLRP3_KO,F7,Stimulated,F7
NLRP3_KO,F8,Stimulated,F8
NLRP3_WT,F9,Stimulated,F9
NLRP3_WT,F10,Stimulated,F10
CARD8_KO,G1,Unstimulated,G6
CARD8_KO,G2,Unstimulated,G7
CARD8_KO,G3,Unstimulated,G8
CARD8_WT,G4,Unstimulated,G9
CARD8_WT,G5,Unstimulated,G10
CARD8_KO,G6,Stimulated,G6
CARD8_KO,G7,Stimulated,G7
CARD8_KO,G8,Stimulated,G8
CARD8_WT,G9,Stimulated,G9
CARD8_WT,G10,Stimulated,G10
N4BP1_KO,H1,Unstimulated,H6
N4BP1_KO,H2,Unstimulated,H7
N4BP1_KO,H3,Unstimulated,H8
N4BP1_WT,H4,Unstimulated,H9
N4BP1_WT,H5,Unstimulated,H10
N4BP1_KO,H6,Stimulated,H6
N4BP1_KO,H7,Stimulated,H7
N4BP1_KO,H8,Stimulated,H8
N4BP1_WT,H9,Stimulated,H9
N4BP1_WT,H10,Stimulated,H10
